Slice	Channel	C01	C01x	C02	C02x	C03	C03x	C04	C04x	C05	C05x	C06	C06x	C07	C07x	C08	C08x	C09	C09x	C10	C10x	C11	C11x	C12	C12x
1	1	78.575	170.72	42.737	174.618	93.349	177.435	82.931	178.989	159.6	173.28	88.302	174.07	168.364	174.002	87.65	171.459	101.931	173.687	96.643	171.973	67.624	175.69	37.795	167.735
1	2	12.062	324.24	12.062	332.596	46.133	340.059	26.984	341.365	46.18	330.376	33.203	325.561	45.338	323.663	16.655	319.275	12.829	327.104	29.185	321.896	22.413	328.458	6.128	307.967
1	3	7.824	1066.408	7.988	1183.151	-7.15	1201.501	-70.5	1095.524	-16.385	907.383	35.128	1009.209	-46.302	1127.362	-34.582	826.46	37.657	1413.244	-5.838	1380.607	5.045	1265.17	76.293	1251.999
4	1	154.759	168.597	63.212	172.088	123.821	172.908	106.942	172.326	203.748	167.621	131.36	170.724	211.62	175.389	129.528	161.953	166.247	170.895	143.759	167.184	80.181	170.274	114.141	162.267
4	2	54.631	311.601	24.428	320.926	66.042	322.972	43.406	320.055	86.091	303.138	52.499	304.08	74.872	309.773	36.028	289.056	46.879	313.313	57.104	304.364	34.746	310.315	36.611	289.532
4	3	15.499	1069.965	3.572	1193.662	64.329	1170.173	-85.279	1114.436	-0.662	900.424	39.069	1011.008	-31.268	1109.29	-59.314	845.967	38.284	1409.636	34.297	1320.957	-6.518	1257.349	61.007	1248.458
7	1	187.143	169.642	69.227	174.831	125.95	175.132	103.049	173.604	218.835	169.936	167.207	171.352	203.529	169.465	131.037	165.499	170.608	179.164	160.928	169.697	72.734	170.888	181.323	164.299
7	2	78.977	313.102	31.722	322.909	73.792	326.112	45.005	320.865	98.176	303.851	65.43	305.694	90.961	299.18	36.367	293.007	55.899	317.811	67.993	306.019	37.037	309.149	67.827	292.832
7	3	3.341	1087.453	-17.61	1206.302	22.364	1186.583	-42.482	1071.952	2.509	897.752	69.95	984.759	-91.553	1153.247	-50.558	838.911	7.557	1436.196	31.847	1334.475	3.647	1248.748	96.983	1192.168
10	1	181.45	172.254	64.496	174.027	121.55	173.443	95.355	174.002	188.065	168.171	197.582	171.808	170.957	179.081	112.378	166.605	180.143	174.521	155.201	168.928	56.364	171.735	201.588	164.636
10	2	85.116	309.318	30.323	321.911	72.957	324.086	41.897	319.8	88.965	301.878	81.332	308.851	74.234	306.909	29.785	293.785	63	313.205	67.895	304.082	25.418	312.389	92.171	287.511
10	3	6.466	1112.955	-6.878	1219.293	49.059	1175.287	-82.75	1120.136	4.076	909.265	47.096	1029.446	-50.086	1119.626	-64.962	879.407	7.851	1438.201	80.168	1339.823	-11.309	1279.527	21.887	1262.361
13	1	176.254	169.091	66.381	174.626	125.275	173.988	103.018	174.442	186.111	168.274	250.377	175.891	156.065	184.285	102.832	166.589	212.338	173.223	164.072	169.402	55.127	174.422	213.922	165.964
13	2	83.08	315.616	29.07	326.335	73.575	325.584	43.754	323.46	87.232	300.709	103.633	312.933	69.594	311.922	27.38	294.926	78.623	316.133	70.477	306.871	23.683	317.111	93.728	297.135
13	3	45.494	1104.609	2.085	1222.018	53.533	1181.043	-128.796	1167.642	30.759	898.833	31.819	1053.64	-24.253	1125.724	-61.596	893.371	12.417	1430.329	94.296	1324.21	-7.063	1282.929	53.409	1225.986
16	1	163.019	172.736	64.732	176.505	113.984	176.901	110.738	175.667	206.02	171.773	291.667	175.221	150.937	177.558	104.139	172	233.128	172.973	141.05	171.917	58.559	170.331	197.152	166.647
16	2	75.669	315.691	27.422	326.135	66.042	328.135	50.066	323.189	85.501	315.191	124.118	309.249	66.336	306.487	28.063	296.469	92.03	315.571	60.143	307.705	31.072	308.479	89.604	295.918
16	3	36.171	1123.438	-11.115	1246.961	31.101	1210.864	-85.51	1125.652	-10.563	947.734	45.669	1048.904	-47.489	1152.699	-54.693	886.874	15.987	1420.493	81.655	1334.365	61.123	1225.925	46.986	1226.63
19	1	150.318	172.508	68.038	177.236	111.492	176.971	113.293	175.691	207.233	172.018	316.45	180.512	142.173	175.612	94.311	170.107	229.092	172.517	121.602	171.409	58.681	173.285	163.031	178.93
19	2	66.321	316.987	27.893	328.009	65.781	329.315	50.374	324.145	88.622	314.756	136.314	313.121	65.141	303.616	26.379	297.023	89.453	317.451	52.091	307.508	26.514	315.252	70.908	304
19	3	45.749	1129.877	5.127	1253.037	31.192	1212.115	-99.516	1146.696	-21.929	979.73	20.492	1104.729	-39.431	1197.321	-66.462	913.229	39.98	1409.631	75.093	1329.072	-0.837	1278.435	17.698	1267.557
22	1	133.292	171.077	76.432	179.059	100.033	179.834	115.883	178.463	180.156	174.836	332.788	174.065	119.31	187.717	83.884	174.298	194.691	174.309	110.164	174.642	66.471	177.105	143.812	172.496
22	2	47.509	359.896	24.742	375.55	52.42	398.572	55.002	410.69	91.238	411.626	127.763	419.44	53.357	406.796	20.843	424.01	64.301	363.183	39.087	365.149	20.71	391.771	51.146	370.834
22	3	28.522	1151.85	-6.461	1262.25	39.525	1209.917	-99.444	1152.356	-19.913	981.858	75.834	1033.755	-27.472	1179.15	-39.445	900.804	46.423	1414.656	73.686	1331.438	8.972	1294.671	28.353	1261.957
25	1	122.342	169.901	85.292	177.687	93.419	178.133	127.496	176.387	208.928	171.98	327.965	177.516	131.749	174.767	93.308	171.51	179.746	172.147	97.652	172.083	83.083	171.432	136.007	163.56
25	2	52.558	314.53	36.212	324.844	58.792	327.403	53.28	323.493	86.443	314.99	133.51	308.476	57.767	303.608	18.781	299.669	63.915	316.213	40.345	306.195	39.671	309.245	66.284	285.134
25	3	28.157	1166.164	23.179	1263.818	33.451	1231.623	-93.484	1166.36	-19.479	999.023	11.701	1096.134	-36.191	1195.775	-33.097	898.958	51.108	1420.29	62.637	1351.086	31.376	1274.626	35.387	1257.977
28	1	119.139	171.969	91.985	178.562	80.729	177.376	148.145	177.582	193.197	173.848	362.089	179.725	107.949	172.667	99.186	168.46	138.004	173.239	105.381	171.171	89.355	171.402	116.746	163.378
28	2	51.857	314.05	37.258	327.118	56.009	327.299	60.296	324.588	78.272	316.115	143.128	307.7	46.107	300.906	26.412	293.213	44.513	316.353	41.67	306.129	43.39	309.619	61.186	284.653
28	3	10.808	1173.401	11.347	1273.66	40.705	1223.53	-66.231	1163.364	-14.175	1000.409	36.653	1083.45	-66.731	1209.441	-68.033	936.682	24.345	1436.786	89.856	1333.35	17.784	1293.833	33.076	1248.073
31	1	107.4	170.903	93.017	180.464	69.952	183.318	134.566	178.885	182.222	173.935	367.492	173.243	109.386	171.895	105.521	167.716	108.541	172.942	93.833	172.119	93.511	172.213	89.053	165.163
31	2	45.399	314.66	37.531	326.188	49.743	331.228	54.062	324.513	70.75	317.157	151.037	303.413	41.114	300.605	26.71	292.995	31.843	317.129	37.036	308.992	41.715	310.505	48.842	287.219
31	3	24.435	1143.398	8.467	1271.706	3.903	1264.63	-90.691	1176.01	-28.982	1023.997	57.161	1048.401	-81.478	1202.267	-61.372	937.969	58.448	1410.195	74.109	1351.651	1.414	1304.441	21.353	1269.055
34	1	87.662	171.592	92.646	178.438	63.797	180.222	144.02	175.973	167.516	173.8	364.546	176.914	91.393	176.43	94.514	168.863	74.333	172.782	84.491	169.816	103.727	171.767	80.007	163.518
34	2	38.079	313.552	38.743	326.691	43.881	331.301	59.18	321.646	68.329	314.592	152.044	305.396	34.822	304.258	24.59	292.353	18.534	318.023	36.457	304.234	45.828	309.303	47.103	285.58
34	3	4.858	1148.716	11.512	1290.323	34.925	1234.901	-84.405	1186.787	-22.89	1029.769	54.215	1055.393	-47.895	1207.869	-64.595	958.824	35.778	1429.268	83.36	1330.869	20.376	1293.961	29.122	1262.833
37	1	79.992	172.254	91.693	180.777	62.041	177.328	171.22	181.087	180.899	173.07	331.132	186.514	128.513	171.418	84.982	169.587	97.929	172.933	80.255	171.183	121.9	173.734	65.481	166.458
37	2	31.782	315.165	41.35	326.188	51.96	326.763	68.312	325.352	71.026	314.855	125.146	322.939	49.091	300.775	23.367	293.709	25.986	317.705	39.085	307.459	49.376	312.302	40.827	290.832
37	3	-9.204	1149.174	18.603	1285.78	46.955	1239.516	-61.594	1178.023	-20.976	1033.502	38.8	1073.841	-51.671	1227.902	-52.877	956.692	50.044	1427.453	73.315	1350.522	-6.718	1317.494	-12.578	1292.494
40	1	78.78	171.577	82.658	183.979	55.256	178.193	197.501	178.407	192.003	174.582	323.406	179.025	156.755	171.655	38.128	172.79	126.133	174.055	74.203	172.411	127.1	175.292	67.222	164.537
40	2	30.216	317.254	35.232	330.954	55.203	326.186	86.268	324.603	73.154	318.283	137.854	306.323	59.133	301.126	9.274	301.397	37.579	319.065	38.698	308.999	52.236	315.455	42.688	287.111
40	3	1.398	1143.17	-5.414	1306.297	30.448	1249.738	-44.27	1182.74	-26.744	1055.226	44.117	1067.921	-66.887	1234.779	-24.492	1022.716	40.982	1434.557	57.496	1353.247	-8.298	1321.409	37.447	1252.634
43	1	71.133	172.035	74.681	182.054	47.624	180.493	224.669	180.351	233.678	175.187	270.803	185.745	220.942	169.396	40.594	171.028	119.879	174.896	66.144	171.786	138.016	176.913	73.878	165.202
43	2	27.252	317.493	34.886	328.951	48.62	332.798	94.7	326.117	94.823	318.099	114.393	311.341	81.999	298.784	11.957	300.899	36.895	322.101	39.566	308.414	56.166	316.932	41.32	289.86
43	3	-2.101	1149.969	-5.349	1306.135	24.367	1254.503	-46.582	1192.591	-14.453	1046.326	-18.065	1134.552	-49.837	1236.321	-18.875	1031.888	83.97	1395.836	71.604	1344.622	-4.591	1325.348	23.891	1277.454
46	1	51.908	172.033	63.1	180.569	46.37	179.158	277.125	179.215	230.453	174.158	234.642	185.678	246.416	175.596	38.732	170.356	118.547	179.886	53.894	172.587	172.66	175.485	83.59	166.843
46	2	15.836	319.18	24.819	330.02	50.706	330.676	119.867	325.321	99.717	317.936	96.526	312.934	94.516	303.948	9.35	302.969	38.886	323.409	28.382	310.493	70.967	315.712	44.624	293.231
46	3	-26.576	1172.769	-1.205	1307.291	23.81	1265.399	-45.461	1208.998	-12.38	1052.742	-32.611	1157.663	-46.138	1243.394	-22.347	1035.638	32.739	1459.052	38.867	1353.987	-3.125	1321.575	0.9	1289.62
49	1	41.542	172.019	56.109	180.697	42.494	180.953	332.448	183.137	256.899	174.989	201.788	181.012	322.454	172.567	31.396	169.087	115.485	175.905	48.072	175.264	209.26	176.08	82.936	168.314
49	2	12.839	318.109	21.469	331.303	48.882	334.291	156.769	327.498	114.774	319.344	81.173	311.76	130.984	301.086	5.925	302.821	37.391	323.586	26.918	316.239	89.409	317.223	44.706	297.04
49	3	5.031	1159.574	2.318	1319.626	4.898	1283.36	-35.496	1208.75	-9.302	1059.658	-46.847	1162.351	-38.889	1245.427	-9.226	1037.87	113.801	1375.591	33.563	1366.012	-6.583	1330.387	11.731	1278.249
52	1	34.436	171.62	57.322	179.387	42.069	180.545	324.984	183.532	253.589	174.859	195.939	173.749	384.55	176.166	29.894	170.863	93.957	176.482	45.33	174.349	229.412	174.586	73.69	169.3
52	2	11.601	318.028	22.533	330.12	46.934	332.474	158.415	327.557	118.506	318.403	82.128	306.24	161.743	302.033	5.514	303.887	28.42	323.516	22.346	314.228	104.405	314.018	41.072	298.854
52	3	23.484	1167.402	-24.355	1359.316	25.743	1269.509	-45.47	1218.24	1.11	1060.089	-32.976	1179.001	-28.862	1245.743	-16.886	1050.883	80.106	1406.648	29.348	1363.315	1.452	1329.959	27.945	1258.117
55	1	32.41	171.943	57.846	178.94	40.426	181.312	303.216	186.862	227.932	179.686	164.526	176.99	415.202	175.377	26.827	169.339	78.27	176.812	52.231	174.878	238.406	176.423	63.418	169.572
55	2	11.516	317.404	23.586	330.361	47.401	332.87	147.072	329.543	110.413	318.477	64.289	311.295	178.128	303.616	8.602	303.414	22.073	326.272	32.643	315.295	104.828	317.632	37.729	298.84
